"Placette" "date_du_releve" "Agrostis_canina" "Agrostis_stolonifera" "Angelica_sylvestris" "Athyrium_filix_femina" "Aulacomnium_palustre" "Betula_pubescens" "Bidens_cernua_/_connata" "Bidens_tripartita" "Calliergonella_cuspidata" "Callitriche_sp" "Callitriche_stagnalis" "Calluna_vulgaris" "Campylopus_sp" "Cardamine_pratensis" "Carex_canescens" "Carex_nigra" "Carex_paniculata" "Carex_rostrata" "Cirsium_palustre" "Comarum_palustre" "Cyperus_fuscus" "Dicranum_scoparium" "Dosera_rotundifolia" "Dryopteris_carthusiana" "Epilobium_palustre" "Epilobium_tetragonum" "Equisetum_fluviatile" "Erica_tetralix" "Eriophorum_angustifolium" "Eriophorum_vaginatum" "Eryophorum_angustifolium" "Eupatorium_cannabinum" "Frangula_alnus" "Galium_palustre" "Hydrocotyle_vulgaris" "Hypnum_jutlandicum" "Juncus_bulbosus" "Juncus_effusus_conglomeratus" "Kindbergia_praelonga" "lemna_minor" "Lemna_minor" "Lotus_uliginosus" "Lychnis_flos_cuculi" "Lycopus_europaeus" "Lysimachia_vulgaris" "Lythrum_portula" "Menyanthes_trifoliata" "Molinia_caerulea" "Myosotis_sp" "Pleurozium_schreberi" "Poa_trivialis" "Polytrichum_strictum" "Potamogeton_polygonifolius" "PseudoPseudoscleropodium_purum" "Quercus_robur" "Ranunculus_flammula" "Ranunculus_repens" "Riccia_fluitans" "Rubus_fructicosus" "Rubus_sp" "Salix_atrocinerea" "Salix_aurita" "Solanum_dulcamara" "Sphagnum_capillifolium" "Sphagnum_sp" "Vaccinium_oxycoccos" "Wahlenbergia"
"76" "P11" "14" NA "0" "0" NA NA NA NA NA NA "0" NA NA NA NA "0" NA "3" "1" "0" "4" NA NA NA "0" "0" "0" "0" NA "0" NA NA NA "0" "+" "+" NA "0" "2" NA "0" NA NA NA "+" "1" NA NA "0" NA NA NA NA NA NA NA NA NA NA NA "0" "1" "0" NA NA "0" NA NA
"77" "P11" "15" NA "+" "0" NA NA NA NA NA NA "1" NA NA NA NA "+" NA "4" "1" "0" "3" NA NA NA "+" "0" "0" "+" NA "0" NA NA NA "0" "+" "+" NA "0" "2" NA "0" NA NA NA "0" "+" NA NA "0" NA NA NA NA NA NA NA NA NA NA NA "0" "1" "0" NA NA "1" NA NA
"78" "P11" "16" NA "0" "0" NA NA NA NA NA NA "0" NA NA NA NA "+" NA "4" "+" "0" "3" NA NA NA "0" "0" "0" "+" NA "0" NA NA NA "0" "+" "+" NA "0" "2" NA "0" NA NA NA "0" "+" NA NA "+" NA NA NA NA NA NA NA NA NA NA NA "0" "0" "0" NA NA "0" NA NA
"79" "P11" "17" NA "0" "0" NA NA NA NA NA NA "0" NA NA NA NA "+" NA "4" "1" "0" "3" NA NA NA "0" "0" "0" "+" NA "0" NA NA NA "+" "0" "1" NA "0" "2" NA "0" NA NA NA "0" "1" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA "0" "+" "0" NA NA "0" NA NA
"80" "P11" "19" NA "0" "+" NA NA NA NA NA NA "+" NA NA NA NA "2" NA "4" "1" "+" "2" NA NA NA "0" "0" "0" "0" NA "+" NA NA NA "0" "+" "1" NA "+" "1" NA "+" NA NA NA "0" "0" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA "+" "+" "0" NA NA "+" NA NA
"81" "P11" "21" NA "0" "0" NA NA NA NA NA NA "0" NA NA NA NA "0" NA "4" "0" "0" "1" NA NA NA "0" "0" "0" "0" NA "0" NA NA NA "0" "0" "1" NA "0" "1" NA "1" NA NA NA "0" "+" NA NA "0" NA NA NA NA NA NA NA NA NA NA NA "0" "0" "0" NA NA "0" NA NA
"82" "P12" "12" NA NA NA NA "+" "+" NA NA NA NA NA "1" NA NA "2" "0" "1" "2" NA NA NA NA NA NA "+" "0" NA "2" NA NA NA NA "+" NA "2" NA NA "3" NA NA NA NA "0" NA "+" NA NA "3" NA NA NA NA NA NA NA NA NA NA "0" NA "1" "+" NA "+" "5" NA NA
"83" "P12" "13" NA NA NA NA "1" "0" NA NA NA NA NA "+" NA NA "1" "0" "1" "2" NA NA NA NA NA NA "+" "0" NA "1" NA NA NA NA "+" NA "3" NA NA "3" NA NA NA NA "0" NA "+" NA NA "3" NA NA NA NA NA NA NA NA NA NA "0" NA "+" "0" NA "+" "4" NA NA
"84" "P12" "14" NA NA NA NA "0" "0" NA NA NA NA NA "+" NA NA "1" "2" "1" "2" NA NA NA NA NA NA "+" "0" NA "1" NA NA NA NA "1" NA "4" NA NA "3" NA NA NA NA "0" NA "+" NA NA "3" NA NA NA NA NA NA NA NA NA NA "+" NA "1" "0" NA "0" "4" NA NA
"85" "P12" "15" NA NA NA NA "0" "0" NA NA NA NA NA "1" NA NA "1" "2" "2" "2" NA NA NA NA NA NA "+" "0" NA "1" NA NA NA NA "1" NA "3" NA NA "2" NA NA NA NA "+" NA "+" NA NA "4" NA NA NA NA NA NA NA NA NA NA "1" NA "1" "0" NA "0" "4" NA NA
"86" "P12" "17" NA NA NA NA "0" "0" NA NA NA NA NA "1" NA NA "0" "1" "2" "2" NA NA NA NA NA NA "1" "+" NA "1" NA NA NA NA "+" NA "3" NA NA "2" NA NA NA NA "0" NA "1" NA NA "3" NA NA NA NA NA NA NA NA NA NA "+" NA "1" "0" NA "0" "3" NA NA
"87" "P12" "19" NA NA NA NA "0" "0" NA NA NA NA NA "1" NA NA "0" "2" "2" "0" NA NA NA NA NA NA "0" "0" NA "1" NA NA NA NA "1" NA "2" NA NA "2" NA NA NA NA "0" NA "0" NA NA "3" NA NA NA NA NA NA NA NA NA NA "+" NA "0" "0" NA "0" "3" NA NA
"88" "P12" "22" NA NA NA NA "0" "+" NA NA NA NA NA "2" NA NA "1" "2" "2" "2" NA NA NA NA NA NA "+" "0" NA "1" NA NA NA NA "+" NA "2" NA NA "2" NA NA NA NA "0" NA "1" NA NA "4" NA NA NA NA NA NA NA NA NA NA "+" NA "0" "0" NA "0" "4" NA NA
"89" "P13" "12" NA NA "1" NA NA NA NA NA "+" NA NA NA NA NA NA NA "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA NA NA "+" "2" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA "0" NA NA NA NA NA NA
"90" "P13" "13" NA NA "+" NA NA NA NA NA "+" NA NA NA NA NA NA NA "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA "0" "2" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA "0" NA NA NA NA NA NA
"91" "P13" "14" NA NA "1" NA NA NA NA NA "0" NA NA NA NA NA NA NA "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA NA NA "0" "0" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA "0" NA NA NA NA NA NA
"92" "P13" "15" NA NA "0" NA NA NA NA NA "0" NA NA NA NA NA NA NA "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "0" "0" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA "1" NA NA NA NA NA NA
"93" "P13" "17" NA NA "1" NA NA NA NA NA "0" NA NA NA NA NA NA NA "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "+" "0" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA NA NA NA NA
"94" "P14" "12" NA NA NA NA "2" "2" NA NA NA NA NA "2" NA NA NA NA "2" "0" NA NA NA NA "0" "0" NA "0" NA "2" "0" NA NA NA "1" "0" "+" "1" NA "+" NA NA NA NA NA NA NA NA NA "4" NA "0" NA NA NA NA NA NA "0" NA "0" NA "0" NA NA NA "5" NA NA
"95" "P14" "13" NA NA NA NA "2" "1" NA NA NA NA NA "2" NA NA NA NA "2" "0" NA NA NA NA "0" "0" NA "0" NA "2" "0" NA NA NA "+" "0" "+" "1" NA "+" NA NA NA NA NA NA NA NA NA "4" NA "+" NA NA NA NA NA NA "0" NA "0" NA "0" NA NA NA "5" NA NA
"96" "P14" "15" NA NA NA NA "0" "+" NA NA NA NA NA "2" NA NA NA NA "2" "0" NA NA NA NA "0" "0" NA "0" NA "1" "0" NA NA NA "0" "+" "1" "0" NA "+" NA NA NA NA NA NA NA NA NA "4" NA "0" NA NA NA NA NA NA "0" NA "+" NA "0" NA NA NA "0" NA NA
"97" "P14" "17" NA NA NA NA "0" "+" NA NA NA NA NA "2" NA NA NA NA "2" "0" NA NA NA NA "+" "0" NA "+" NA "1" "0" NA NA NA "+" "1" "2" "0" NA "1" NA NA NA NA NA NA NA NA NA "4" NA "0" NA NA NA NA NA NA "0" NA "0" NA "0" NA NA NA "4" NA NA
"98" "P14" "19" NA NA NA NA "0" "+" NA NA NA NA NA "2" NA NA NA NA "2" "0" NA NA NA NA "0" "0" NA "0" NA "1" "0" NA NA NA "+" "0" "2" "0" NA "1" NA NA NA NA NA NA NA NA NA "4" NA "0" NA NA NA NA NA NA "0" NA "0" NA "0" NA NA NA "5" NA NA
"99" "P14" "22" NA NA NA NA "0" "0" NA NA NA NA NA "2" NA NA NA NA "2" "1" NA NA NA NA "1" "+" NA "0" NA "1" "+" NA NA NA "+" "0" "2" "0" NA "1" NA NA NA NA NA NA NA NA NA "4" NA "0" NA NA NA NA NA NA "+" NA "0" NA "+" NA NA NA "5" NA NA
"100" "P15" "12" NA NA "0" NA NA NA "0" NA NA NA "2" NA NA NA "0" NA "3" NA "+" "0" NA NA NA NA "0" "0" "0" NA NA NA NA NA NA "+" "+" NA NA "2" NA NA "0" NA NA "+" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"101" "P15" "13" NA NA "+" NA NA NA "+" NA NA NA "+" NA NA NA "+" NA "4" NA "0" "0" NA NA NA NA "+" "0" "0" NA NA NA NA NA NA "0" "1" NA NA "1" NA NA "0" NA NA "0" "+" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"102" "P15" "14" NA NA "+" NA NA NA "0" NA NA NA "1" NA NA NA "0" NA "4" NA "0" "+" NA NA NA NA "0" "0" "0" NA NA NA NA NA NA "+" "+" NA NA "0" NA NA "1" NA NA "0" "+" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"103" "P15" "15" NA NA "0" NA NA NA "0" NA NA NA "+" NA NA NA "0" NA "3" NA "0" "0" NA NA NA NA "0" "+" "+" NA NA NA NA NA NA "+" "+" NA NA "0" NA NA "+" NA NA "+" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"104" "P15" "17" NA NA "+" NA NA NA "+" NA NA NA "1" NA NA NA "0" NA "3" NA "0" "0" NA NA NA NA "0" "0" "+" NA NA NA NA NA NA "1" "+" NA NA "0" NA NA "1" NA NA "+" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"105" "P15" "19" NA NA "0" NA NA NA "0" NA NA NA "0" NA NA NA "0" NA "3" NA "0" "0" NA NA NA NA "0" "0" "0" NA NA NA NA NA NA "0" "0" NA NA "0" NA NA "0" NA NA "0" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"106" "P16" "12" NA "+" "2" "0" NA NA NA NA NA NA NA NA NA "0" "0" "+" "3" "2" "0" NA NA NA NA NA "1" "+" NA NA NA NA NA NA NA "0" "0" NA "0" "4" NA NA "1" "+" "0" "1" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2" NA "+" NA NA NA "0"
"107" "P16" "13" NA "+" "2" "0" NA NA NA NA NA NA NA NA NA "0" "0" "+" "4" "2" "0" NA NA NA NA NA "0" "1" NA NA NA NA NA NA NA "0" "0" NA "0" "4" NA NA "0" "0" "0" "1" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2" NA "1" NA NA NA "0"
"108" "P16" "15" NA "1" "1" "+" NA NA NA NA NA NA NA NA NA "0" "0" "+" "4" "1" "1" NA NA NA NA NA "0" "0" NA NA NA NA NA NA NA "0" "2" NA "0" "2" NA NA "0" "0" "+" "0" "+" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2" NA "0" NA NA NA "1"
"109" "P16" "17" NA "+" "+" "0" NA NA NA NA NA NA NA NA NA "+" "1" "0" "4" "0" "0" NA NA NA NA NA "0" "+" NA NA NA NA NA NA NA "1" "2" NA "1" "1" NA NA "0" "0" "0" "0" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA "0" NA NA NA "0"
"110" "P17" "12" NA NA NA NA "1" NA NA NA "1" NA NA NA NA NA NA "2" "1" "3" NA NA NA NA NA "0" "1" "+" NA "0" NA "+" NA NA NA "0" "0" NA NA "1" "0" NA NA NA NA "0" "0" NA NA "3" NA NA NA "0" NA NA "0" NA NA NA NA NA "0" NA NA NA "4" "+" NA
"111" "P17" "13" NA NA NA NA "2" NA NA NA "0" NA NA NA NA NA NA "2" "1" "3" NA NA NA NA NA "0" "1" "0" NA "0" NA "+" NA NA NA "0" "0" NA NA "1" "1" NA NA NA NA "+" "0" NA NA "3" NA NA NA "0" NA NA "i" NA NA NA NA NA "i" NA NA NA "4" "i" NA
"112" "P17" "14" NA NA NA NA "0" NA NA NA "0" NA NA NA NA NA NA "+" "1" "1" NA NA NA NA NA "0" "1" "+" NA "0" NA "+" NA NA NA "0" "0" NA NA "2" "0" NA NA NA NA "i" "0" NA NA "4" NA NA NA "0" NA NA "0" NA NA NA NA NA "0" NA NA NA "4" "i" NA
"113" "P17" "15" NA NA NA NA "0" NA NA NA "0" NA NA NA NA NA NA "2" "2" "2" NA NA NA NA NA "+" "2" "+" NA "0" NA "1" NA NA NA "0" "0" NA NA "2" "0" NA NA NA NA "0" "0" NA NA "3" NA NA NA "0" NA NA "0" NA NA NA NA NA "+" NA NA NA "4" "0" NA
"114" "P17" "17" NA NA NA NA "0" NA NA NA "0" NA NA NA NA NA NA "3" "1" "1" NA NA NA NA NA "0" "2" "1" NA "0" NA "1" NA NA NA "0" "2" NA NA "2" "0" NA NA NA NA "+" "0" NA NA "4" NA NA NA "0" NA NA "0" NA NA NA NA NA "0" NA NA NA "3" "0" NA
"115" "P17" "19" NA NA NA NA "0" NA NA NA "0" NA NA NA NA NA NA "2" "2" "2" NA NA NA NA NA "0" "+" "0" NA "0" NA "0" NA NA NA "0" "1" NA NA "2" "0" NA NA NA NA "0" "0" NA NA "4" NA NA NA "0" NA NA "0" NA NA NA NA NA "0" NA NA NA "1" "0" NA
"116" "P17" "22" NA NA NA NA "0" NA NA NA "0" NA NA NA NA NA NA "2" "2" "2" NA NA NA NA NA "0" "1" "0" NA "0" NA "1" NA NA NA "1" "3" NA NA "2" "0" NA NA NA NA "1" "+" NA NA "4" NA NA NA "0" NA NA "0" NA NA NA NA NA "0" NA NA NA "2" "0" NA
